Keywords,Date and Time,Source,Event ID,Task Category,
Audit Success,22/10/2025 12:17:21 am,Microsoft-Windows-Security-Auditing,4624,Logon,"An account was successfully logged on.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		2
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x4194E
	Linked Logon ID:		0x41979
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x3c
	Process Name:		C:\Windows\System32\svchost.exe

Network Information:
	Workstation Name:	WIN-V9E96E0LK6Q
	Source Network Address:	127.0.0.1
	Source Port:		0

Detailed Authentication Information:
	Logon Process:		User32 
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Audit Success,22/10/2025 12:17:21 am,Microsoft-Windows-Security-Auditing,4624,Logon,"An account was successfully logged on.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Logon Information:
	Logon Type:		2
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		No

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979
	Linked Logon ID:		0x4194E
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{00000000-0000-0000-0000-000000000000}

Process Information:
	Process ID:		0x3c
	Process Name:		C:\Windows\System32\svchost.exe

Network Information:
	Workstation Name:	WIN-V9E96E0LK6Q
	Source Network Address:	127.0.0.1
	Source Port:		0

Detailed Authentication Information:
	Logon Process:		User32 
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Audit Success,22/10/2025 12:17:21 am,Microsoft-Windows-Security-Auditing,4672,Special Logon,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x4194E

Privileges:		SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Audit Success,22/10/2025 12:17:21 am,Microsoft-Windows-Security-Auditing,4799,Security Group Management,"A security-enabled local group membership was enumerated.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Group:
	Security ID:		BUILTIN\Administrators
	Group Name:		Administrators
	Group Domain:		Builtin

Process Information:
	Process ID:		0x3c
	Process Name:		C:\Windows\System32\svchost.exe"
Audit Success,22/10/2025 12:17:22 am,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success,22/10/2025 12:17:22 am,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success,22/10/2025 12:17:22 am,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success,22/10/2025 12:17:22 am,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success,22/10/2025 12:17:22 am,Microsoft-Windows-Security-Auditing,5379,User Account Management,"Credential Manager credentials were read.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7
	Read Operation:		Enumerate Credentials

This event occurs when a user performs a read operation on stored credentials in Credential Manager."
Audit Success,22/10/2025 12:17:22 am,Microsoft-Windows-Security-Auditing,5058,Other System Events,"Key file operation.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Process Information:
	Process ID:		60
	Process Creation Time:	‎2025‎-‎10‎-‎22T22:17:00.103901800Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	UNKNOWN
	Key Name:	09337e3d-15e0-920d-f97c-2983c7d24f4f
	Key Type:	User key.

Key File Operation Information:
	File Path:	C:\ProgramData\Microsoft\Crypto\SystemKeys\21c4b68eb238a4707690462d0d886587_1396b1ac-c86b-40a2-8176-0fd59be60c79
	Operation:	Read persisted key from file.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:22 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	RSA
	Key Name:	09337e3d-15e0-920d-f97c-2983c7d24f4f
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Open Key.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:22 am,Microsoft-Windows-Security-Auditing,5058,Other System Events,"Key file operation.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Process Information:
	Process ID:		60
	Process Creation Time:	‎2025‎-‎10‎-‎22T22:17:00.103901800Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	UNKNOWN
	Key Name:	09337e3d-15e0-920d-f97c-2983c7d24f4f
	Key Type:	User key.

Key File Operation Information:
	File Path:	C:\ProgramData\Microsoft\Crypto\SystemKeys\21c4b68eb238a4707690462d0d886587_1396b1ac-c86b-40a2-8176-0fd59be60c79
	Operation:	Read persisted key from file.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:22 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	RSA
	Key Name:	09337e3d-15e0-920d-f97c-2983c7d24f4f
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Open Key.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:22 am,Microsoft-Windows-Security-Auditing,5059,Other System Events,"Key migration operation.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-V9E96E0LK6Q$
	Account Domain:		WORKGROUP
	Logon ID:		0x3E7

Process Information:
	Process ID:		60
	Process Creation Time:	‎2025‎-‎10‎-‎22T22:17:00.103901800Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	RSA
	Key Name:	09337e3d-15e0-920d-f97c-2983c7d24f4f
	Key Type:	User key.

Additional Information:
	Operation:	Export of persistent cryptographic key.
	Return Code:	0x0"
Audit Failure,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	UNKNOWN
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Open Key.
	Return Code:	0x80090016"
Audit Failure,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	UNKNOWN
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Open Key.
	Return Code:	0x80090016"
Audit Failure,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	UNKNOWN
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Open Key.
	Return Code:	0x80090016"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5058,Other System Events,"Key file operation.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979

Process Information:
	Process ID:		3136
	Process Creation Time:	‎2025‎-‎10‎-‎22T07:17:22.288947600Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	ECDSA_P256
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Key File Operation Information:
	File Path:	C:\Users\defaultuser0\AppData\Roaming\Microsoft\Crypto\Keys\de7cf8a7901d2ad13e5c67c29e5d1662_1396b1ac-c86b-40a2-8176-0fd59be60c79
	Operation:	Write persisted key to file.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	ECDSA_P256
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Create Key.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5058,Other System Events,"Key file operation.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979

Process Information:
	Process ID:		3136
	Process Creation Time:	‎2025‎-‎10‎-‎22T07:17:22.288947600Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	UNKNOWN
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Key File Operation Information:
	File Path:	C:\Users\defaultuser0\AppData\Roaming\Microsoft\Crypto\Keys\de7cf8a7901d2ad13e5c67c29e5d1662_1396b1ac-c86b-40a2-8176-0fd59be60c79
	Operation:	Read persisted key from file.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	ECDSA_P256
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Open Key.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5059,Other System Events,"Key migration operation.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979

Process Information:
	Process ID:		3136
	Process Creation Time:	‎2025‎-‎10‎-‎22T07:17:22.288947600Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	ECDSA_P256
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Additional Information:
	Operation:	Export of persistent cryptographic key.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5059,Other System Events,"Key migration operation.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979

Process Information:
	Process ID:		3136
	Process Creation Time:	‎2025‎-‎10‎-‎22T07:17:22.288947600Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	ECDSA_P256
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Additional Information:
	Operation:	Export of persistent cryptographic key.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5059,Other System Events,"Key migration operation.

Subject:
	Security ID:		S-1-5-21-4045774015-439033036-4038580180-1000
	Account Name:		defaultuser0
	Account Domain:		DESKTOP-5877OOS
	Logon ID:		0x41979

Process Information:
	Process ID:		3136
	Process Creation Time:	‎2025‎-‎10‎-‎22T07:17:22.288947600Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	ECDSA_P256
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Additional Information:
	Operation:	Export of persistent cryptographic key.
	Return Code:	0x0"
Audit Failure,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		LOCAL SERVICE
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E5

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	UNKNOWN
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Open Key.
	Return Code:	0x80090016"
Audit Failure,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		LOCAL SERVICE
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E5

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	UNKNOWN
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Open Key.
	Return Code:	0x80090016"
Audit Failure,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		LOCAL SERVICE
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E5

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	UNKNOWN
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Open Key.
	Return Code:	0x80090016"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5058,Other System Events,"Key file operation.

Subject:
	Security ID:		LOCAL SERVICE
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E5

Process Information:
	Process ID:		832
	Process Creation Time:	‎2025‎-‎10‎-‎22T22:17:00.378942200Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	ECDSA_P256
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Key File Operation Information:
	File Path:	C:\Windows\ServiceProfiles\LocalService\AppData\Roaming\Microsoft\Crypto\Keys\de7cf8a7901d2ad13e5c67c29e5d1662_1396b1ac-c86b-40a2-8176-0fd59be60c79
	Operation:	Write persisted key to file.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		LOCAL SERVICE
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E5

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	ECDSA_P256
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Create Key.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5058,Other System Events,"Key file operation.

Subject:
	Security ID:		LOCAL SERVICE
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E5

Process Information:
	Process ID:		832
	Process Creation Time:	‎2025‎-‎10‎-‎22T22:17:00.378942200Z

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	UNKNOWN
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Key File Operation Information:
	File Path:	C:\Windows\ServiceProfiles\LocalService\AppData\Roaming\Microsoft\Crypto\Keys\de7cf8a7901d2ad13e5c67c29e5d1662_1396b1ac-c86b-40a2-8176-0fd59be60c79
	Operation:	Read persisted key from file.
	Return Code:	0x0"
Audit Success,22/10/2025 12:17:23 am,Microsoft-Windows-Security-Auditing,5061,System Integrity,"Cryptographic operation.

Subject:
	Security ID:		LOCAL SERVICE
	Account Name:		LOCAL SERVICE
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E5

Cryptographic Parameters:
	Provider Name:	Microsoft Software Key Storage Provider
	Algorithm Name:	ECDSA_P256
	Key Name:	Microsoft Connected Devices Platform device certificate
	Key Type:	User key.

Cryptographic Operation:
	Operation:	Open Key.
	Return Code:	0x0"
